Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=44, 비교문서 문장번호=16, 비교문서 문장=님들아 모두 아름다운 아이들 모리와 함께 한 화요일 나는 선생님이 좋아요, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=fzyjdh&logNo=150108472992&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.5873015873015873, endResult=0.6053631651944228]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=45, 비교문서 문장번호=23, 비교문서 문장=책 제목과 짜 맞춘 듯이 모리 는 화요일에 세상을 떠났다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kwank99&logNo=30026254102&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.5818181818181818, endResult=0.5628999026208485]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=46, 비교문서 문장번호=8, 비교문서 문장=이 책은 온통 두려움뿐인...... http:// blog. naver. com/ natecat natecat 님의 블 로그 독후감 모리와 함께 한 화요일/ 미치 앨 봄... 무엇일까?, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=fzyjdh&logNo=150108472992&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.29365079365079366, endResult=0.40713058386632656]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=46, 비교문서 문장번호=16, 비교문서 문장=님들아 모두 아름다운 아이들 모리와 함께 한 화요일 나는 선생님이 좋아요, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=fzyjdh&logNo=150108472992&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.5873015873015873, endResult=0.6053631651944228]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=47, 비교문서 문장번호=23, 비교문서 문장=책 제목과 짜 맞춘 듯이 모리 는 화요일에 세상을 떠났다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kwank99&logNo=30026254102&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.5818181818181818, endResult=0.5628999026208485]
Data [검사문장번호=2, 검사문장=물론 생명은 모두 누구나 출생과 죽음을 다 거치게 된다., 비교문서번호=8, 비교문서 문장번호=2, 비교문서 문장=물론 모든 생명은 다 출생을 거쳐서 죽음을 거치게 된다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.8944271909999159, tagRate=0.0, editRate=0.7903225806451613, endResult=0.831964424787063]
Data [검사문장번호=3, 검사문장=하지만 인간 만이 죽음이라는 것을 아름답게 만든다., 비교문서번호=8, 비교문서 문장번호=3, 비교문서 문장=누구나... 하지만 이러한 책에서의 구성과 같이 아름답게 죽음이라는 것을 만드는 것은 인간뿐이라는 것이란 생각이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.5108695652173914, endResult=0.5595039519439051]
Data [검사문장번호=4, 검사문장=이 책에서 죽음을 안다면 진정한 삶까지 알 수 있다고, 비교문서번호=8, 비교문서 문장번호=5, 비교문서 문장=그 이유는 이 책에서 모리 교수는 죽음을 안다면 진정한 삶까지 알 수 있다고, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.8169014084507042, endResult=0.743123057883893]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=7, 비교문서 문장번호=3, 비교문서 문장=이 책도 모리 교수는 대단한 사람이구나., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=withacat&logNo=70176449408&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6666666666666667, tagRate=0.0, editRate=0.5454545454545454, endResult=0.593939393939394]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=8, 비교문서 문장번호=5, 비교문서 문장=그 이유는 이 책에서 모리 교수는 죽음을 안다면 진정한 삶까지 알 수 있다고, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5163977794943222, tagRate=0.0, editRate=0.33962264150943394, endResult=0.41033269670338923]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=8, 비교문서 문장번호=6, 비교문서 문장=말했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5333333333333333, endResult=0.5509401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=8, 비교문서 문장번호=7, 비교문서 문장=이 모리 교수의 말이 나는 처음에 이해가 되지 않았다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=songyong0709&logNo=20173907335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.4878048780487805, endResult=0.5236230345051186]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=9, 비교문서 문장번호=13, 비교문서 문장=대학시절 모리 교수와 이야기했던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kimws94&logNo=100133648265&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5163977794943222, tagRate=0.0, editRate=0.6071428571428571, endResult=0.5708448260834431]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=12, 비교문서 문장번호=13, 비교문서 문장=말했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cecav16536&logNo=70005929848&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.5333333333333333, endResult=0.5509401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=13, 비교문서 문장번호=8, 비교문서 문장=말한다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=lajahoj232&logNo=50005361352&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.4666666666666667, endResult=0.5109401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=14, 비교문서 문장번호=28, 비교문서 문장=그가 말했다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kjh_082&logNo=130018183828&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.7222222222222222, endResult=0.6642734410091836]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=17, 비교문서 문장번호=0, 비교문서 문장=본문내용 모리는 한 대학의 교수이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cnxo80&logNo=90084227802&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5163977794943222, tagRate=0.0, editRate=0.5483870967741935, endResult=0.535591369862245]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=17, 비교문서 문장번호=23, 비교문서 문장=모리가 미치에게 해 주던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=cnxo80&logNo=90084227802&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.625, endResult=0.6059401076758504]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=18, 비교문서 문장번호=26, 비교문서 문장=말한다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=bell7788&logNo=10084549858&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.4666666666666667, endResult=0.5109401076758503]
Data [검사문장번호=5, 검사문장=모리 교수가 말했다., 비교문서번호=18, 비교문서 문장번호=58, 비교문서 문장=말한다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=bell7788&logNo=10084549858&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.4666666666666667, endResult=0.5109401076758503]
